附件1: 哈夫曼编码表（格式为 '全拼编码':[出现次数,'哈夫曼编码']）
de: [1392, 'd']
shi: [721, 'a']
ji: [606, 'h']
yi: [539, 'v']
chan: [490, 'i']
jie: [438, 'n']
zi: [357, 'u']
zhi: [352, 'e']
bu: [272, 'b']
gong: [271, 'z']
zhe: [267, 'x']
li: [267, 'c']
ta: [239, 'm']
you: [232, 'w']
ren: [231, 'y']
zai: [229, 'o']
he: [228, 'p']
zhong: [221, 'jj']
men: [214, 'jf']
hui: [213, 'jk']
ge: [213, 'jd']
guo: [195, 'jl']
zheng: [193, 'js']
le: [176, 'ja']
tong: [166, 'jg']
she: [164, 'jh']
sheng: [161, 'jv']
wei: [152, 'jn']
wu: [151, 'jt']
jian: [142, 'ju']
ye: [136, 'je']
qi: [135, 'jr']
fa: [135, 'jb']
zhu: [131, 'jz']
lai: [125, 'jx']
yu: [124, 'jc']
xing: [121, 'jm']
xian: [121, 'jq']
dong: [121, 'jw']
jiu: [118, 'jy']
xiao: [113, 'jo']
cheng: [112, 'jp']
dui: [109, 'fj']
guan: [106, 'ff']
er: [106, 'fk']
di: [104, 'fd']
dao: [103, 'fs']
xiang: [97, 'fa']
xi: [97, 'fg']
du: [97, 'fh']
jing: [91, 'fv']
dai: [90, 'fi']
jia: [88, 'fn']
suo: [87, 'ft']
qie: [87, 'fu']
jin: [87, 'fe']
dang: [83, 'fr']
yao: [81, 'fb']
huo: [81, 'fz']
zhan: [79, 'fx']
qu: [79, 'fc']
zu: [77, 'fm']
yong: [77, 'fq']
ming: [73, 'fw']
chu: [73, 'fy']
fan: [71, 'fo']
shang: [68, 'fp']
shou: [67, 'kj']
da: [67, 'kf']
xie: [66, 'kk']
yin: [64, 'kd']
min: [64, 'kl']
bei: [64, 'ks']
fang: [63, 'ka']
cai: [62, 'kg']
shen: [61, 'kh']
dan: [60, 'kv']
ben: [59, 'ki']
mie: [57, 'kn']
jiao: [57, 'kt']
zuo: [54, 'ku']
neng: [53, 'ke']
chang: [53, 'kr']
ba: [53, 'kb']
ju: [52, 'kz']
yang: [51, 'kc']
ti: [51, 'km']
fen: [51, 'kq']
wen: [50, 'kw']
ke: [50, 'ky']
fu: [50, 'ko']
